"gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","contrast"
"IGJ","B cell-DN2",-0.0490528879244643,11.7709576576635,0.00306826551995944,0.955827064624785,0.997673742466876,1,"group_idcSLE-group_idcHD"
"IGLL5","B cell-DN2",2.82665214353212,13.6735452792125,16.9156521118693,3.93144649805167e-05,0.0156943114529719,0.497288667538555,"group_idcSLE-group_idcHD"
"HBB","B cell-DN2",4.48330785330368,12.4524019009558,16.3762501816783,5.22273259666287e-05,0.0156943114529719,0.660362309522054,"group_idcSLE-group_idcHD"
"HBA2","B cell-DN2",1.72766690470034,11.8825915568104,3.31671366353191,0.0686013754871746,0.547071308321782,1,"group_idcSLE-group_idcHD"
"HBA1","B cell-DN2",2.51999427401959,11.7516305976962,5.89238314849347,0.0152197713924914,0.32388639478352,1,"group_idcSLE-group_idcHD"
"MZB1","B cell-DN2",-0.30503388653925,11.7444081720922,0.130577702839995,0.717839581045506,0.850361435166157,1,"group_idcSLE-group_idcHD"
"AL928768.3","B cell-DN2",2.08653715846178,12.241842732288,5.6214576552137,0.017756137612705,0.32388639478352,1,"group_idcSLE-group_idcHD"
"IFI27","B cell-DN2",3.25254624044145,11.9378275880763,9.21444161748593,0.00240580491818535,0.161612728724315,1,"group_idcSLE-group_idcHD"
"S100A9","B cell-DN2",3.70261984181414,12.1012644730244,11.6513593910005,0.000643480563692676,0.0717274984031561,1,"group_idcSLE-group_idcHD"
"S100A8","B cell-DN2",0.174050670351801,11.9451038395808,0.0504623577404528,0.822264152421828,0.909474094719073,1,"group_idcSLE-group_idcHD"
"RP11-1143G9.4","B cell-DN2",1.74108748841042,11.6383050561024,3.71764069051899,0.093245376342281,0.547071308321782,1,"group_idcSLE-group_idcHD"
"LYZ","B cell-DN2",0.955378755086014,12.0313364701968,1.30879034983098,0.252634496566463,0.660603299600111,1,"group_idcSLE-group_idcHD"
"GNLY","B cell-DN2",0.145165500966905,11.9418410456891,0.0320928689303801,0.857826729625314,0.932285469267295,1,"group_idcSLE-group_idcHD"
"HIST1H2AC","B cell-DN2",-0.352174223091481,11.5684197093895,0.221686783324652,0.732820023224799,0.850361435166157,1,"group_idcSLE-group_idcHD"
"IFITM3","B cell-DN2",0.812543002621725,11.6918338599993,0.812816001042847,0.367305428650604,0.660603299600111,1,"group_idcSLE-group_idcHD"
"G0S2","B cell-DN2",0.947314909752178,11.5483275718486,2.39570602099231,0.288422095828584,0.660603299600111,1,"group_idcSLE-group_idcHD"
"IL8","B cell-DN2",0.891398953737428,11.5338005734449,2.55544811777099,0.28842208519559,0.660603299600111,1,"group_idcSLE-group_idcHD"
"CCL4","B cell-DN2",-0.649534689508791,11.548276615636,1.11523790582499,0.438750861360169,0.660603299600111,1,"group_idcSLE-group_idcHD"
"CD74","B cell-DN2",0.629928731817135,16.8248773135795,7.46329901642871,0.00630530784659147,0.305050946872874,1,"group_idcSLE-group_idcHD"
"MT2A","B cell-DN2",2.83825201093397,11.829858760499,7.11594964573868,0.00764942210294302,0.305050946872874,1,"group_idcSLE-group_idcHD"
"S100A12","B cell-DN2",0.497022247466051,11.5044344891146,1.60075586707792,0.452859420833695,0.660603299600111,1,"group_idcSLE-group_idcHD"
"RGS18","B cell-DN2",0.486108525009452,11.5026449579266,1.60930924602314,0.452859417746343,0.660603299600111,1,"group_idcSLE-group_idcHD"
"ITM2C","B cell-DN2",1.8406138200342,11.6395254472146,4.14922985022096,0.0659551898034648,0.547071308321782,1,"group_idcSLE-group_idcHD"
"HLA-DRA","B cell-DN2",0.149832720948179,15.3311742933844,0.195986321423961,0.657987507683609,0.830819175527141,1,"group_idcSLE-group_idcHD"
"CST3","B cell-DN2",2.75802742950935,11.8163940211602,6.70147355950024,0.00964387352842697,0.305050946872874,1,"group_idcSLE-group_idcHD"
"GZMB","B cell-DN2",0.535834122153678,11.5130744880173,1.54117985090167,0.45285944060837,0.660603299600111,1,"group_idcSLE-group_idcHD"
"HLA-DPB1","B cell-DN2",0.599805264976765,14.5388587435621,1.8975778397468,0.168373002674278,0.659008003440426,1,"group_idcSLE-group_idcHD"
"FTL","B cell-DN2",0.0179189355665581,14.3374091718692,0.00163819804691178,0.967715320523803,0.997673742466876,1,"group_idcSLE-group_idcHD"
"HLA-DPA1","B cell-DN2",0.339120200849433,14.3134239260939,0.55755051158593,0.455262142361231,0.661166982005998,1,"group_idcSLE-group_idcHD"
"HLA-DQA1","B cell-DN2",-0.351457988799039,13.3011580238952,0.377200336683357,0.539115957350205,0.739745868418889,1,"group_idcSLE-group_idcHD"
"FCGR3A","B cell-DN2",-0.0893452116219814,11.5850932586615,0.00687426071647052,0.983472469148227,0.997673742466876,1,"group_idcSLE-group_idcHD"
"NKG7","B cell-DN2",2.01578499818407,11.974099306969,4.46151148930389,0.0346855100910775,0.473772535562217,1,"group_idcSLE-group_idcHD"
"HLA-DRB1","B cell-DN2",0.340954211668746,14.6536333875829,0.674165165669625,0.411618002308906,0.660603299600111,1,"group_idcSLE-group_idcHD"
"HLA-DRB5","B cell-DN2",0.887742246795346,13.3179103044482,2.04232160476428,0.152999641134783,0.658941939934537,1,"group_idcSLE-group_idcHD"
"LST1","B cell-DN2",1.50947156594016,11.6049779020487,3.39294807261956,0.133274121046292,0.602238699121163,1,"group_idcSLE-group_idcHD"
"FCN1","B cell-DN2",1.48115470577888,11.5955920233239,3.48349270171198,0.133274119259288,0.602238699121163,1,"group_idcSLE-group_idcHD"
"CCL5","B cell-DN2",0.54697036181338,11.5165130297329,1.51295191407002,0.452859451791084,0.660603299600111,1,"group_idcSLE-group_idcHD"
"CD79A","B cell-DN2",0.4932595979415,13.9832178299491,0.953499869356435,0.328847897636361,0.660603299600111,1,"group_idcSLE-group_idcHD"
"TCL1A","B cell-DN2",-1.40738801665898,12.0123546099534,3.65193882360238,0.0560255828841185,0.547071308321782,1,"group_idcSLE-group_idcHD"
"ISG15","B cell-DN2",2.21590218492489,12.5729482297605,6.82482948871836,0.00900008133193657,0.305050946872874,1,"group_idcSLE-group_idcHD"
"IFI6","B cell-DN2",1.94339722480063,11.9430923768111,4.16385369686741,0.0413151696495261,0.523397465084108,1,"group_idcSLE-group_idcHD"
"FTH1","B cell-DN2",0.524587483291759,14.5750288564287,1.48004474167235,0.223789238362119,0.660603299600111,1,"group_idcSLE-group_idcHD"
"LGALS1","B cell-DN2",0.819730563108759,12.1854947229334,1.1184137839719,0.290279584639167,0.660603299600111,1,"group_idcSLE-group_idcHD"
"GZMK","B cell-DN2",0.540676874590922,11.5145004795705,1.52965504919721,0.452859444943003,0.660603299600111,1,"group_idcSLE-group_idcHD"
"TYROBP","B cell-DN2",-0.171200711967492,11.7522518388121,0.040551269918891,0.840409664596258,0.920011308601732,1,"group_idcSLE-group_idcHD"
